feature,coef
myo_vol_mean,-0.3207844703460818
myo_vol_std,0.5973153588378508
Ldiast,0.22658470113195944
Rdiast,0.13163819704675037
kappa,0.01347680749030549
Eclose,-0.6026481860216997
DeltaTheta,0.37927580276188066
seg01_amp,-0.08781672385980546
seg02_amp,0.26637700419795046
seg03_amp,-0.056356552376480296
seg04_amp,0.058525028753853466
seg05_amp,-0.09185314244903618
seg06_amp,-0.8023394460812898
seg07_amp,-0.28821277931279404
seg08_amp,0.2686502981979972
seg09_amp,-0.44364341080522024
seg10_amp,-0.3285153693827465
seg11_amp,-0.3769466867468566
seg12_amp,0.5705552775573857
seg13_amp,0.3578001965757559
seg14_amp,0.5754223858669286
seg15_amp,-0.40606005883499213
seg16_amp,0.44762443250949646
seg17_amp,0.43223082255716677
seg_top3_mean,-0.2679494156658973
seg_top5_mean,-0.07161722019655892
seg_base_apex_ratio,0.014314021420145987
seg_dispersion_cv,0.020840213883214505
DeltaTheta_x_top5,-1.3376017826256992
