feature,coef
myo_vol_mean,0.7369631102833166
myo_vol_std,0.0013984527872546717
Ldiast,-0.05235268161801522
Rdiast,0.07665102454678425
kappa,0.0036919590501916645
Eclose,-0.07121558104926713
DeltaTheta,-0.044523080713600574
seg01_amp,-0.08583374132687016
seg02_amp,0.06046290433741238
seg03_amp,-0.05090330412849819
seg04_amp,-0.10891656414523614
seg05_amp,0.017223707757959967
seg06_amp,-0.023539283618020226
seg07_amp,-0.21799798129943496
seg08_amp,-0.0552320392217998
seg09_amp,-0.03184025366523057
seg10_amp,0.15828704097623694
seg11_amp,0.009724305305447123
seg12_amp,-0.09297683902305205
seg13_amp,-0.012686224502053891
seg14_amp,0.1118992613107272
seg15_amp,0.025272479013644177
seg16_amp,-0.11826315150862987
seg17_amp,-0.036470647766998515
seg_top3_mean,-0.08529888451841097
seg_top5_mean,-0.1206374544797405
seg_base_apex_ratio,0.0002471120835515137
seg_dispersion_cv,-0.0002786795685720223
DeltaTheta_x_top5,-0.13042765090256325
