segment,top5_freq,top5_rate
seg07_amp,186,0.93
seg16_amp,120,0.6
seg10_amp,110,0.55
seg04_amp,96,0.48
seg14_amp,76,0.38
seg12_amp,66,0.33
seg01_amp,61,0.305
seg02_amp,61,0.305
seg05_amp,55,0.275
seg06_amp,45,0.225
seg08_amp,35,0.175
seg15_amp,30,0.15
seg17_amp,22,0.11
seg11_amp,17,0.085
seg09_amp,12,0.06
seg03_amp,7,0.035
seg13_amp,1,0.005
