model1_base_cox_craw,model1_base_cox_cadj,model1_base_cox_auc_365,model1_base_cox_auc_730,model1_base_cox_auc_1095,model1_base_cox_auc_endpoint,model2_geom_cox_craw,model2_geom_cox_cadj,model2_geom_cox_auc_365,model2_geom_cox_auc_730,model2_geom_cox_auc_1095,model2_geom_cox_auc_endpoint,model3_full_cox_craw,model3_full_cox_cadj,model3_full_cox_auc_365,model3_full_cox_auc_730,model3_full_cox_auc_1095,model3_full_cox_auc_endpoint,model4_tree_auto_craw,model4_tree_auto_cadj,model4_tree_auto_auc_365,model4_tree_auto_auc_730,model4_tree_auto_auc_1095,model4_tree_auto_auc_endpoint,model5_mlp_auto_craw,model5_mlp_auto_cadj,model5_mlp_auto_auc_365,model5_mlp_auto_auc_730,model5_mlp_auto_auc_1095,model5_mlp_auto_auc_endpoint,model6_ensemble_auto_craw,model6_ensemble_auto_cadj,model6_ensemble_auto_auc_365,model6_ensemble_auto_auc_730,model6_ensemble_auto_auc_1095,model6_ensemble_auto_auc_endpoint,model2_geom_cox_nri_ep,model2_geom_cox_idi_ep,model3_full_cox_nri_ep,model3_full_cox_idi_ep,model4_tree_auto_nri_ep,model4_tree_auto_idi_ep,model5_mlp_auto_nri_ep,model5_mlp_auto_idi_ep,model6_ensemble_auto_nri_ep,model6_ensemble_auto_idi_ep,model6_ensemble_balanced_accuracy_thr_oob,model6_ensemble_f1_thr_oob,model6_ensemble_mcc_thr_oob,model6_ensemble_sensitivity_thr_oob,model6_ensemble_specificity_thr_oob
0.775766016713092,0.775766016713092,0.7196132596685083,0.7196132596685083,0.7196132596685083,0.7196132596685083,0.5682451253481894,0.5682451253481894,0.5488029465930019,0.5488029465930019,0.5488029465930019,0.5488029465930019,0.6838440111420613,0.6838440111420613,0.6201657458563536,0.6201657458563536,0.6201657458563536,0.6201657458563536,0.4220055710306407,0.5779944289693593,0.4944751381215469,0.4944751381215469,0.4944751381215469,0.4944751381215469,0.4331476323119777,0.5668523676880223,0.4935543278084714,0.4935543278084714,0.4935543278084714,0.4935543278084714,0.4331476323119777,0.5668523676880223,0.4935543278084714,0.4935543278084714,0.4935543278084714,0.4935543278084714,0.21639042357274402,0.7231305202975189,-0.17127071823204415,0.5109320135278859,0.0,-0.4163672915241732,-0.022099447513812098,-0.45304765927748614,-0.022099447513812098,-0.4530476582877473,0.48756906077348067,0.10619469026548672,-0.012020132328515188,0.5,0.47513812154696133
0.6544,0.6544,0.5621722846441947,0.5621722846441947,0.5621722846441947,0.5621722846441947,0.6928,0.6928,0.5816479400749064,0.5816479400749064,0.5816479400749064,0.5816479400749064,0.78,0.78,0.6243445692883896,0.6243445692883896,0.6243445692883896,0.6243445692883896,0.6256,0.6256,0.6044943820224719,0.6044943820224719,0.6044943820224719,0.6044943820224719,0.4952,0.5048,0.4853932584269663,0.4853932584269663,0.4853932584269663,0.4853932584269663,0.4952,0.5048,0.4853932584269663,0.4853932584269663,0.4853932584269663,0.4853932584269663,0.4119850187265917,0.11018900598359471,0.12134831460674156,1.0812886118817757,0.0,-0.10690214966152722,-0.011235955056179803,-0.1697998629216716,-0.011235955056179803,-0.16979988820133748,0.4664794007490637,0.11965811965811966,-0.0359564343695862,0.4666666666666667,0.46629213483146065
0.681912681912682,0.681912681912682,0.5560675883256528,0.5560675883256528,0.5560675883256528,0.5560675883256528,0.577962577962578,0.577962577962578,0.4700460829493087,0.4700460829493087,0.4700460829493087,0.4700460829493087,0.7276507276507277,0.7276507276507277,0.5230414746543779,0.5230414746543779,0.5230414746543779,0.5230414746543779,0.5862785862785863,0.5862785862785863,0.4976958525345622,0.4976958525345622,0.4976958525345622,0.4976958525345622,0.4968814968814969,0.503118503118503,0.37327188940092165,0.37327188940092165,0.37327188940092165,0.37327188940092165,0.4968814968814969,0.503118503118503,0.37327188940092165,0.37327188940092165,0.37327188940092165,0.37327188940092165,0.2073732718894009,0.2025702393583262,-0.3579109062980031,0.16180976959932525,0.0,-0.11371913400314472,-0.032258064516129004,-0.21791078223810345,-0.032258064516129004,-0.21791076831179554,0.34715821812596004,0.03361344537815126,-0.11580466622717979,0.2857142857142857,0.40860215053763443
0.8473451327433629,0.8473451327433629,0.771186440677966,0.771186440677966,0.771186440677966,0.771186440677966,0.7654867256637168,0.7654867256637168,0.678319209039548,0.678319209039548,0.678319209039548,0.678319209039548,0.7986725663716814,0.7986725663716814,0.7213983050847458,0.7213983050847458,0.7213983050847458,0.7213983050847458,0.7566371681415929,0.7566371681415929,0.7111581920903954,0.7111581920903954,0.7111581920903954,0.7111581920903954,0.7109144542772862,0.7109144542772862,0.6168785310734464,0.6168785310734464,0.6168785310734464,0.6168785310734464,0.7109144542772862,0.7109144542772862,0.6168785310734464,0.6168785310734464,0.6168785310734464,0.6168785310734464,0.5162429378531073,0.4897026231359447,0.25635593220338987,1.0190738133627124,0.0,-0.3306658668845164,-0.02259887005649719,-0.35571894852953223,-0.02259887005649719,-0.35571893562634466,0.5443149717514124,0.16541353383458646,0.05001812066963986,0.6875,0.4011299435028249
0.8172371638141809,0.8172371638141809,0.7483388704318937,0.7483388704318937,0.7483388704318937,0.7483388704318937,0.7542787286063569,0.7542787286063569,0.6782945736434108,0.6782945736434108,0.6782945736434108,0.6782945736434108,0.7646699266503667,0.7646699266503667,0.7070874861572535,0.7070874861572535,0.7070874861572535,0.7070874861572535,0.6191931540342298,0.6191931540342298,0.606312292358804,0.606312292358804,0.606312292358804,0.606312292358804,0.6185819070904646,0.6185819070904646,0.5885935769656699,0.5885935769656699,0.5885935769656699,0.5885935769656699,0.6185819070904646,0.6185819070904646,0.5885935769656699,0.5885935769656699,0.5885935769656699,0.5885935769656699,0.4401993355481728,0.4254703065420744,0.18217054263565885,2.954551282165224,0.0,-0.3041647080468525,0.0,-0.42205678330991336,0.0,-0.42205679533924945,0.5687984496124031,0.2222222222222222,0.08602932835429931,0.6666666666666666,0.47093023255813954
0.6981132075471698,0.6981132075471698,0.6452702702702704,0.6452702702702704,0.6452702702702704,0.6452702702702704,0.7186963979416809,0.7186963979416809,0.6445945945945946,0.6445945945945946,0.6445945945945946,0.6445945945945946,0.758147512864494,0.758147512864494,0.6466216216216216,0.6466216216216216,0.6466216216216216,0.6466216216216216,0.7615780445969125,0.7615780445969125,0.7641891891891892,0.7641891891891892,0.7641891891891892,0.7641891891891892,0.5900514579759862,0.5900514579759862,0.6087837837837838,0.6087837837837838,0.6087837837837838,0.6087837837837838,0.5900514579759862,0.5900514579759862,0.6087837837837838,0.6087837837837838,0.6087837837837838,0.6087837837837838,0.5378378378378379,0.42373372325552117,0.017567567567567555,1.3797242293466183,0.0,-0.12975869821586966,-0.021621621621621623,-0.16487050299138106,-0.021621621621621623,-0.16487051759223365,0.5148648648648648,0.08080808080808081,0.011871375349733433,0.5,0.5297297297297298
0.8166666666666667,0.8166666666666667,0.7622950819672131,0.7622950819672131,0.7622950819672131,0.7622950819672131,0.7680555555555556,0.7680555555555556,0.6344262295081966,0.6344262295081966,0.6344262295081966,0.6344262295081966,0.8472222222222222,0.8472222222222222,0.719672131147541,0.719672131147541,0.719672131147541,0.719672131147541,0.7708333333333334,0.7708333333333334,0.7021857923497267,0.7021857923497267,0.7021857923497267,0.7021857923497267,0.7569444444444444,0.7569444444444444,0.6032786885245901,0.6032786885245901,0.6032786885245901,0.6032786885245901,0.7569444444444444,0.7569444444444444,0.6032786885245901,0.6032786885245901,0.6032786885245901,0.6032786885245901,0.4601092896174863,0.7498673854461873,0.1322404371584699,1.6133126981686932,0.0,-0.3734801185631203,0.0,-0.41409039303320583,0.0,-0.414090392164346,0.5349726775956284,0.10619469026548672,0.031077391416036722,0.6,0.46994535519125685
0.8439363817097415,0.8439363817097415,0.7597765363128491,0.7597765363128491,0.7597765363128491,0.7597765363128491,0.7256461232604374,0.7256461232604374,0.6021548284118117,0.6021548284118117,0.6021548284118117,0.6021548284118117,0.8598409542743539,0.8598409542743539,0.716679968076616,0.716679968076616,0.716679968076616,0.716679968076616,0.7912524850894632,0.7912524850894632,0.6775738228252193,0.6775738228252193,0.6775738228252193,0.6775738228252193,0.7186878727634195,0.7186878727634195,0.5997605746209099,0.5997605746209099,0.5997605746209099,0.5997605746209099,0.7186878727634195,0.7186878727634195,0.5997605746209099,0.5997605746209099,0.5997605746209099,0.5997605746209099,0.34716679968076625,0.20718724011326284,0.0007980845969672856,1.4818301905620281,0.0,-0.40485314770645964,-0.022346368715083775,-0.4299346283283054,-0.022346368715083775,-0.42993466077938974,0.5644453312051078,0.1565217391304348,0.0669356351019569,0.6428571428571429,0.4860335195530726
0.7700587084148728,0.7700587084148728,0.6454880294659301,0.6454880294659301,0.6454880294659301,0.6454880294659301,0.8189823874755382,0.8189823874755382,0.6873848987108655,0.6873848987108655,0.6873848987108655,0.6873848987108655,0.8317025440313112,0.8317025440313112,0.6657458563535912,0.6657458563535912,0.6657458563535912,0.6657458563535912,0.738747553816047,0.738747553816047,0.6929097605893186,0.6929097605893186,0.6929097605893186,0.6929097605893186,0.6594911937377691,0.6594911937377691,0.5888581952117864,0.5888581952117864,0.5888581952117864,0.5888581952117864,0.6594911937377691,0.6594911937377691,0.5888581952117864,0.5888581952117864,0.5888581952117864,0.5888581952117864,0.7384898710865562,0.23981290448487114,0.0847145488029466,0.32412986098235264,0.0,-0.11712194824750854,-0.04419889502762442,-0.11330244445099913,-0.04419889502762442,-0.11330243887552588,0.4960865561694291,0.1111111111111111,-0.003843731471278498,0.5833333333333334,0.4088397790055249
0.7162666666666667,0.7162666666666667,0.6871345029239766,0.6871345029239766,0.6871345029239766,0.6871345029239766,0.7237333333333333,0.7237333333333333,0.6562998405103668,0.6562998405103668,0.6562998405103668,0.6562998405103668,0.7882666666666667,0.7882666666666667,0.6961722488038277,0.6961722488038277,0.6961722488038277,0.6961722488038277,0.736,0.736,0.7078681552365762,0.7078681552365762,0.7078681552365762,0.7078681552365762,0.5888,0.5888,0.5778841041998937,0.5778841041998937,0.5778841041998937,0.5778841041998937,0.5888,0.5888,0.5778841041998937,0.5778841041998937,0.5778841041998937,0.5778841041998937,0.4370015948963317,0.4788715398788832,0.22913343965975536,1.8896330645176975,0.0,-0.2679584998760696,-0.04678362573099415,-0.3293408561094593,-0.04678362573099415,-0.32934086417036557,0.523524720893142,0.203125,0.030050472968513212,0.5909090909090909,0.45614035087719296
